用户账号（ID）,商品名称,商品类型,商品介绍,商品ID
655284,麻辣王子甜辣口味辣条,休闲零食,甜中带辣，辣中带甜，口感层次丰富，让人回味无穷，适合喜欢甜辣结合的消费者。,20232024033
655284,资生堂沐浴露,个护美妆,日系风格，香氛淡雅宜人，舒缓精神，配方温和，清洁力适中,20232024210
655284,美汁源果粒橙,酒水饮料,含有真实果粒，口感独特，橙子味道清新，适合喜欢果粒口感的消费者,20232024307
655284,向日葵,酒水饮料,金黄色的花朵，象征希望、友谊、忠诚,20232024297
655284,满天星,水果鲜花,小巧精致的花朵，象征浪漫、纯真、希望,20232024290
655284,唯洁雅4层加厚气垫纸,日用清洁,4层加厚设计，耐撕不易破，触感细腻如棉，适合敏感肌使用，独特气垫储水层技术,20232024251
655284,蓝漂悬挂式加厚面巾纸,日用清洁,原生竹浆，不含荧光剂，4层加厚设计，触感柔软亲肤，悬挂式设计方便,20232024248
655284,蒙牛每日鲜语鲜牛奶,乳品烘焙,原生高品质鲜牛奶，每100毫升鲜奶含有3.6g优质乳蛋白和120mg原生高钙,20232024131
655284,周黑鸭鸭翅尖,熟食卤味,肉质细腻，口感鲜美，辣中带甜，是周黑鸭的特色小吃,20232024337
655284,飘柔家庭装洗发水,个护美妆,温和清洁，适合日常洗发需求，大容量设计，性价比高,20232024190
382175,蓝漂悬挂式加厚面巾纸,日用清洁,原生竹浆，不含荧光剂，4层加厚设计，触感柔软亲肤，悬挂式设计方便,20232024248
382175,贵州安顺金刺梨,水果鲜花,果肉脆嫩多汁，酸甜可口，富含维生素C和多种矿物质，具有独特的地理环境风味,20232024281
382175,周黑鸭鸭肫,熟食卤味,肉质紧实有嚼劲，口感鲜美，是卤制鸭肉的又一佳作,20232024331
382175,美汁源果粒橙,酒水饮料,含有真实果粒，口感独特，橙子味道清新，适合喜欢果粒口感的消费者,20232024307
382175,周黑鸭鸭腿,熟食卤味,肉质紧实有嚼劲，口感鲜美，是卤制鸭肉的又一佳作,20232024339
382175,卫龙爆汁辣条,休闲零食,爆汁设计，口感丰富，辣味浓郁，令人回味无穷,20232024026
382175,麻辣王子素食辣条,休闲零食,以素食为原料，口感劲道，味道浓郁，适合素食者或追求健康饮食的消费者。,20232024036
382175,百草味鸭腿,休闲零食,口感鲜美，肉质紧实，卤味十足,20232024053
382175,百草味猪肉脯,休闲零食,口感鲜美，肉质紧实有嚼劲，经典零食,20232024054
382175,百草味黑糖话梅,休闲零食,酸甜可口，黑糖风味，独特口感,20232024088
505460,早安你好系列加厚原木纸巾,日用清洁,原生木浆材质，质地细腻，亲肤舒适，加厚设计，湿水不易破,20232024252
505460,周黑鸭腐竹,熟食卤味,口感筋道，味道鲜美，富含营养，是健康美味的豆制品零食,20232024343
505460,周黑鸭豆制品,熟食卤味,口感细腻，味道鲜美，富含营养，是健康美味的零食选择,20232024341
505460,周黑鸭鸭肝,熟食卤味,口感细腻，味道醇厚，富含营养，是健康美味的零食选择,20232024332
505460,清扬控油去屑洗发水,个护美妆,控油去屑双重功效，清爽不油腻，适合男士和油性发质,20232024186
505460,植护4层加厚抽纸,日用清洁,四层加厚设计，柔软舒适，进口原生木浆，不含荧光剂，湿水不易破,20232024244
505460,酿酒狗朋克IPA,酒水饮料,入门级印度淡色艾尔啤酒，融合了西柚、柑橘、菠萝等热带水果口感，果香四溢，苦感爆炸但回甘,20232024320
505460,郁金香,水果鲜花,优雅的姿态和丰富的色彩，象征春天的到来、美好的祝福,20232024284
505460,周黑鸭海带结,熟食卤味,口感脆爽，味道鲜美，富含碘元素，是健康美味的海鲜零食,20232024342
505460,周黑鸭鸭胸肉,熟食卤味,肉质鲜嫩多汁，口感细腻，是健康美味的肉类零食,20232024338
510250,浔至XFINDING香氛沐浴露,个护美妆,用APG作为表面活性剂，不含皂基，维持皮肤天然酸性保护膜，柔软光滑，敏感肌适用，留香时间长,20232024206
510250,唯洁雅4层加厚气垫纸,日用清洁,4层加厚设计，耐撕不易破，触感细腻如棉，适合敏感肌使用，独特气垫储水层技术,20232024251
510250,周黑鸭鸭胸肉,熟食卤味,肉质鲜嫩多汁，口感细腻，是健康美味的肉类零食,20232024338
510250,青岛啤酒金质小棕金,酒水饮料,低温酿造工艺，口感清爽纯净，散发金色光泽，泡沫细腻，麦香浓郁,20232024318
